name,section
Oliver Grzoyu,D
Paola Tfuxvu,A
Christopher Ynkjng,B
Noah Ebjtzc,B
Zhong Bgtenp,D
Ella Jndgiw,C
Eugene Ghinym,A
Proudman Thzvxd,B
Rayaan Cygpck,A
Joseph Vdhfyo,C
Keyan Flwbuu,A
Don Qfxlyj,C
Yang Vytdyw,C
Yunjia Tivzpb,D
Nikhita Tycmug,B
Vijigisha Tcofyh,A
Xinrui Ebhibz,C
Rachit Wawzcn,B
Aiden Hirszo,B
Yuting Ekriyh,D
Letian Qyeozj,A
Bassam Vgprgj,C
Lucas Nqggkj,D
Anvitha Adublm,A
Abraham Dtpuqg,A
Patrick Dpcrhw,D
Darren Snyfdx,A
Travin Mxguae,A
Prajyna Leuixz,A
Jay Sehwhp,B
Evan Uqeurb,B
Kaden Kmkdoo,B
Abigail Ccljrz,D
Minqi Plasjl,C
Khloe Dwlvpr,D
Seven Hsstsf,A
Max Qacxgt,C
George Yveicw,C
Bruce Wfxqqa,D
Ayesha Gplyuj,A
Yanhao Jdeqms,D
Christopher Silmlg,C
David Iiacey,C
Qiyuan Iogcmw,A
Matthew Pwpgqa,C
Matthew Fphpip,C
Stephanie Rbuqov,B
Patterson Lqdhhg,A
Varshith Nfwcpn,B
Wei-Ting Imqfbr,D
Radhika Ifirup,A
Gongcheng Wbsdbc,C
Jose Ttxwrx,A
Nagasree Mavqfv,D
Dariy Ilbgva,B
Ye Cltnen,C
Lana Rfixqr,C
Akshar Acrheb,C
Alina Bpwjnt,A
Noah Adekar,B
Xuexiang Rvuone,A
Yangchen Ptslgg,C
Austin Dwzgrn,B
Elaine Ceyuiq,C
Hilary Atzklz,C
Julian Mkiynw,B
Skye Ktwbuo,A
Candice Rlxoga,C
Pavel Bwintr,B
Haoye Afdrid,C
Andrea Bhfhfu,B
Naomi Tlygcv,D
Huilin Svlyug,D
Isaac Nunxqu,A
Jiaxi Hjqxlk,A
Rei Qaiizt,A
Thaarak Suiqmz,C
Vedant Vunkna,A
Logan Xdbomp,B
Jhovany Bcddwe,B
Iris Azasio,B
Xiangguo Wdyoee,A
Barin Kgxxyx,C
Alan Gwazaa,C
Joseph Jpoelz,C
Jingyao Toblve,A
Mauricio Yfqfpp,A
An Pxidlp,B
Dora Uutxls,B
Qiankang Tzjsbb,D
Kim Wxnmuh,C
Jazmine Sxcvft,C
